! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/case_1285613542/#alidation#iphy-gui#dataconfig#iCDR100_B0_internal_MDIO.csv,v 1.1 2012-06-20 11:26:14-07 case Exp $,,,
"! From: iphy/sos/repository/iphy_A.rep/TEMP/rbemra_1274230893/validation#python#iCDR100_internal_MDIO_1v1_flat.csv, v 1.6 2011-07-29 10:44:59-07 rbemra Exp $ ! Revision 1.6  2011-07-29 10:44:59-07  rbemra",,,,
! $Log: #alidation#iphy-gui#dataconfig#iCDR100_B0_internal_MDIO.csv,v $
! Revision 1.1  2012-06-20 11:26:14-07  case
! Inital release -- not checked
!,,,
! Revision 1.4  2012-04-12 14:24:40-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:58-07  case,,,,
! defined CYA bit function correctly this time!,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:20-07  case,,,,
! defined CYA bit function,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:15-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.4  2011-12-01 14:23:17-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.3  2011-09-29 13:32:42-07  case,,,,
! Changed 30.0.7 to reserved, 30.0.12 to MDIO init per Andre,,,
!,,,,
! Revision 1.2  2011-08-23 12:09:19-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.6  2011-07-29 10:44:59-07  rbemra,,,,
! Same as rev4, fixed header/SOS_kwds,,,
!,,,,
! Revision 1.4  2011-07-29 09:24:11-07  case,,,,
! Corrected Rx and Tx PLL Voltage regulator descriptions,,,,
! Revision 1.3  2011-07-28 15:06:11-07  rbemra,,,,
! Several updates (iPHY team) for iCDR100 first samples,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# RegAddr,RegName,DefVal/Mask,ValueDes,Description
R30.1186,25G Rx Lane 3 PI Control 3,16'h0000,,
30.1186.15:8,PI offset Override #3[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #3 to be overridden"
30.1186.7:0,PI offset Override #2[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #2 to be overridden"
R30.419,25G Rx Lane 0 Eq thr obs ,16'h0000,,
30.419.15,Reserved,R,,
30.419.14:0,EQ Adapted Threshold,R,,The value of the Equalizer adapted threshold can be read back via this register
R30.675,25G Rx Lane 1 Eq thr obs ,16'h0000,,
30.675.15,Reserved,R,,
30.675.14:0,EQ Adapted Threshold,R,,The value of the Equalizer adapted threshold can be read back via this register
R30.931,25G Rx Lane 2 Eq thr obs,16'h0000,,
30.931.15,Reserved,R,,
30.931.14:0,EQ Adapted Threshold,R,,The value of the Equalizer adapted threshold can be read back via this register
R30.1187,25G Rx Lane 3 Eq thr obs  ,16'h0000,,
30.1187.15,Reserved,R,,
30.1187.14:0,EQ Adapted Threshold,R,,The value of the Equalizer adapted threshold can be read back via this register
R30.420,25G Rx Lane 0 Eq Control 2 ,16'h0000,,
30.420.15:2,Eq Trip,R,,This field can be read for debug purposes to observe the value of the data pattern count at the time of the most recent equalizer  analysis interval expiry.  
30.420.1,Reserved,R,,
30.420.0,Equalizer code override,RW,,"Assert this bit = '1' to force the contents of bits[3:0] of the RX Equalizer Control Register 1 to control the equalizer code under MDIO control.  There are some restrictions on accessing this bit.  RX Equalizer Control Register 1 can be read at any time.  In order to have the value written to this register overwrite the equalizer code, the bit[0] in this register  must have been asserted in a previous write cycle."
R30.676,25G Rx Lane 1 Eq Control 2 ,16'h0000,,
30.676.15:2,Eq Trip,R,,This field can be read for debug purposes to observe the value of the data pattern count at the time of the most recent equalizer  analysis interval expiry.  
30.676.1,Reserved,R,,
30.676.0,Equalizer code override,RW,,"Assert this bit = '1' to force the contents of bits[3:0] of the RX Equalizer Control Register 1 to control the equalizer code under MDIO control.  There are some restrictions on accessing this bit.  RX Equalizer Control Register 1 can be read at any time.  In order to have the value written to this register overwrite the equalizer code, the bit[0] in this register  must have been asserted in a previous write cycle."
R30.932,25G Rx Lane 2 Eq Control 2 ,16'h0000,,
30.932.15:2,Eq Trip,R,,This field can be read for debug purposes to observe the value of the data pattern count at the time of the most recent equalizer  analysis interval expiry.  
30.932.1,Reserved,R,,
30.932.0,Equalizer code override,RW,,"Assert this bit = '1' to force the contents of bits[3:0] of the RX Equalizer Control Register 1 to control the equalizer code under MDIO control.  There are some restrictions on accessing this bit.  RX Equalizer Control Register 1 can be read at any time.  In order to have the value written to this register overwrite the equalizer code, the bit[0] in this register  must have been asserted in a previous write cycle."
R30.1188,25G Rx Lane 3 Eq Control 2 ,16'h0000,,
30.1188.15:2,Eq Trip,R,,This field can be read for debug purposes to observe the value of the data pattern count at the time of the most recent equalizer  analysis interval expiry.  
30.1188.1,Reserved,R,,
30.1188.0,Equalizer code override,RW,,"Assert this bit = '1' to force the contents of bits[3:0] of the RX Equalizer Control Register 1 to control the equalizer code under MDIO control.  There are some restrictions on accessing this bit.  RX Equalizer Control Register 1 can be read at any time.  In order to have the value written to this register overwrite the equalizer code, the bit[0] in this register  must have been asserted in a previous write cycle."
R30.421,25G Rx Lane 0 Eq Observe 1 ,16'h0007,,
30.421.15:4,Reserved,R,,
30.421.3:0,Equalizer state,R,,"This value indicates the active receive linear equalizer setting.  When adaptation is disabled it will match the value in register r25.4, when enabled it will indicate the value to which it is adapted."
R30.677,25G Rx Lane 1 Eq Observe 1,16'h0007,,
30.677.15:4,Reserved,R,,
30.677.3:0,Equalizer state,R,,"This value indicates the active receive linear equalizer setting.  When adaptation is disabled it will match the value in register r25.4, when enabled it will indicate the value to which it is adapted."
R30.933,25G Rx Lane 2 Eq Observe 1 ,16'h0007,,
30.933.15:4,Reserved,R,,
30.933.3:0,Equalizer state,R,,"This value indicates the active receive linear equalizer setting.  When adaptation is disabled it will match the value in register r25.4, when enabled it will indicate the value to which it is adapted."
R30.1189,25G Rx Lane 3 Eq Observe 1,16'h0007,,
30.1189.15:4,Reserved,R,,
30.1189.3:0,Equalizer state,R,,"This value indicates the active receive linear equalizer setting.  When adaptation is disabled it will match the value in register r25.4, when enabled it will indicate the value to which it is adapted."
R30.422,25G Rx Lane 0 Eq Setting ,16'h0007,,
30.422.15:4,Reserved,R,,
30.422.3:0,Equalizer Setting,RW,,This value selects the receive linear equalizer setting when equalizer adaptation is disabled.
R30.678,25G Rx Lane 1 Eq Setting,16'h0007,,
30.678.15:4,Reserved,R,,
30.678.3:0,Equalizer Setting,RW,,This value selects the receive linear equalizer setting when equalizer adaptation is disabled.
R30.934,25G Rx Lane 2 Eq Setting,16'h0007,,
30.934.15:4,Reserved,R,,
30.934.3:0,Equalizer Setting,RW,,This value selects the receive linear equalizer setting when equalizer adaptation is disabled.
R30.1190,25G Rx Lane 3 Eq Setting,16'h0007,,
30.1190.15:4,Reserved,R,,
30.1190.3:0,Equalizer Setting,RW,,This value selects the receive linear equalizer setting when equalizer adaptation is disabled.
R30.423,25G Rx0 2nd Order CDR Obs,16'h0000,,
30.423.15:14,Reserved,R,,
30.423.13:0,CDR2 Trip,R,,This field indicates the number of 1st order incr/decr pulses accumulated within the most recent second order CDR voting interval.  This value can be used to determine the magnitude of uncorrected receive clock ppm offset. A value of 14'h2000 indicates Zero accumulation. A value >14'h2000 indicates net positive accumulation (positive ppm). A value <14'h2000 indicates net negative accumulation (positive ppm). Note that there will normally be some small jitter induced variation of increments vs. decrements - so small accumulated values may not indicate an accurate ppm offset.  In such cases error should be reduced by averaging over multiple register reads.
R30.679,25G Rx1 2nd Order CDR Obs,16'h0000,,
30.679.15:14,Reserved,R,,
30.679.13:0,CDR2 Trip,R,,This field indicates the number of 1st order incr/decr pulses accumulated within the most recent second order CDR voting interval.  This value can be used to determine the magnitude of uncorrected receive clock ppm offset. A value of 14'h2000 indicates Zero accumulation. A value >14'h2000 indicates net positive accumulation (positive ppm). A value <14'h2000 indicates net negative accumulation (positive ppm). Note that there will normally be some small jitter induced variation of increments vs. decrements - so small accumulated values may not indicate an accurate ppm offset.  In such cases error should be reduced by averaging over multiple register reads.
R30.935,25G Rx2 2nd Order CDR Obs,16'h0000,,
30.935.15:14,Reserved,R,,
30.935.13:0,CDR2 Trip,R,,This field indicates the number of 1st order incr/decr pulses accumulated within the most recent second order CDR voting interval.  This value can be used to determine the magnitude of uncorrected receive clock ppm offset. A value of 14'h2000 indicates Zero accumulation. A value >14'h2000 indicates net positive accumulation (positive ppm). A value <14'h2000 indicates net negative accumulation (positive ppm). Note that there will normally be some small jitter induced variation of increments vs. decrements - so small accumulated values may not indicate an accurate ppm offset.  In such cases error should be reduced by averaging over multiple register reads.
R30.1191,25G Rx3 2nd Order CDR Obs,16'h0000,,
30.1191.15:14,Reserved,R,,
30.1191.13:0,CDR2 Trip,R,,This field indicates the number of 1st order incr/decr pulses accumulated within the most recent second order CDR voting interval.  This value can be used to determine the magnitude of uncorrected receive clock ppm offset. A value of 14'h2000 indicates Zero accumulation. A value >14'h2000 indicates net positive accumulation (positive ppm). A value <14'h2000 indicates net negative accumulation (positive ppm). Note that there will normally be some small jitter induced variation of increments vs. decrements - so small accumulated values may not indicate an accurate ppm offset.  In such cases error should be reduced by averaging over multiple register reads.
R30.424,25G Rx Lane 0 PI Position 1,16'h0000,,
30.424.15:14,Reserved,R,,
30.424.13:12,PI Select,RW,00=PI_0;01=PI_1;10=PI_2;11=PI_3;,These 2 bits are used to select which PI will present it?s position information on bits [9:0] in this register.
30.424.11:10,Reserved,R,,
30.424.9:8,PI Quadrant value,R,,The current value of the interpolator quadrant can be read back through this field
30.424.7:0,PI Code value,R,,The current value of the (coarse) interpolator code can be read back through this field
R30.680,25G Rx Lane 1 PI Position 1,16'h0000,,
30.680.15:14,Reserved,R,,
30.680.13:12,PI Select,RW,00=PI_0;01=PI_1;10=PI_2;11=PI_3;,These 2 bits are used to select which PI will present it?s position information on bits [9:0] in this register.
30.680.11:10,Reserved,R,,
30.680.9:8,PI Quadrant value,R,,The current value of the interpolator quadrant can be read back through this field
30.680.7:0,PI Code value,R,,The current value of the (coarse) interpolator code can be read back through this field
R30.936,25G Rx Lane 2 PI Position 1,16'h0000,,
30.936.15:14,Reserved,R,,
30.936.13:12,PI Select,RW,00=PI_0;01=PI_1;10=PI_2;11=PI_3;,These 2 bits are used to select which PI will present it?s position information on bits [9:0] in this register.
30.936.11:10,Reserved,R,,
30.936.9:8,PI Quadrant value,R,,The current value of the interpolator quadrant can be read back through this field
30.936.7:0,PI Code value,R,,The current value of the (coarse) interpolator code can be read back through this field
R30.1192,25G Rx Lane 3 PI Position 1,16'h0000,,
30.1192.15:14,Reserved,R,,
30.1192.13:12,PI Select,RW,00=PI_0;01=PI_1;10=PI_2;11=PI_3;,These 2 bits are used to select which PI will present it?s position information on bits [9:0] in this register.
30.1192.11:10,Reserved,R,,
30.1192.9:8,PI Quadrant value,R,,The current value of the interpolator quadrant can be read back through this field
30.1192.7:0,PI Code value,R,,The current value of the (coarse) interpolator code can be read back through this field
R30.425,25G Rx0 2nd order debug 1,16'h0000,,
30.425.15:7,Reserved,R,,
30.425.6:2,second order state value,RW,,Use this field to manually override the value of the second order state code when enabled by bit[0] in this register
30.425.1,Reserved,R,,
30.425.0,second order state override,RW,0=normal; 1=override enable,Set this field to 1'b1 to enable overriding of the second order state field
R30.681,25G Rx1 2nd order debug 1,16'h0000,,
30.681.15:7,Reserved,R,,
30.681.6:2,second order state value,RW,,Use this field to manually override the value of the second order state code when enabled by bit[0] in this register
30.681.1,Reserved,R,,
30.681.0,second order state override,RW,0=normal; 1=override enable,Set this field to 1'b1 to enable overriding of the second order state field
R30.937,25G Rx2 2nd order debug 1,16'h0000,,
30.937.15:7,Reserved,R,,
30.937.6:2,second order state value,RW,,Use this field to manually override the value of the second order state code when enabled by bit[0] in this register
30.937.1,Reserved,R,,
30.937.0,second order state override,RW,0=normal; 1=override enable,Set this field to 1'b1 to enable overriding of the second order state field
R30.1193,25G Rx3 2nd order debug 1,16'h0000,,
30.1193.15:7,Reserved,R,,
30.1193.6:2,second order state value,RW,,Use this field to manually override the value of the second order state code when enabled by bit[0] in this register
30.1193.1,Reserved,R,,
30.1193.0,second order state override,RW,0=normal; 1=override enable,Set this field to 1'b1 to enable overriding of the second order state field
R30.426,25G Rx0 2nd order debug 2,16'h0000,,
30.426.15:5,Reserved,R,,
30.426.4:0,second order state read,R,,Use this field to read the value of the second order adapted state
R30.682,25G Rx1 2nd order debug 2,16'h0000,,
30.682.15:5,Reserved,R,,
30.682.4:0,second order state read,R,,Use this field to read the value of the second order adapted state
R30.938,25G Rx2 2nd order debug 2,16'h0000,,
30.938.15:5,Reserved,R,,
30.938.4:0,second order state read,R,,Use this field to read the value of the second order adapted state
R30.1194,25G Rx3 2nd order debug 2,16'h0000,,
30.1194.15:5,Reserved,R,,
30.1194.4:0,second order state read,R,,Use this field to read the value of the second order adapted state
R30.432,25G Rx0 Sense Amp offset 1,16'h0000,,
30.432.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.432.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.433,25G Rx0 Sense Amp offset 2,16'h0000,,
30.433.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.433.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.434,25G Rx0 Sense Amp offset 3,16'h0000,,
30.434.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.434.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.435,25G Rx0 Sense Amp offset 4,16'h0000,,
30.435.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.435.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.436,25G Rx0 Sense Amp offset 5,16'h0000,,
30.436.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.436.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.437,25G Rx0 Sense Amp offset 6,16'h0000,,
30.437.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.437.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.438,25G Rx0 Sense Amp offset 7,16'h0000,,
30.438.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.438.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.439,25G Rx0 Sense Amp offset 8,16'h0000,,
30.439.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.439.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.688,25G Rx1 Sense Amp offset 1,16'h0000,,
30.688.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.688.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.689,25G Rx1 Sense Amp offset 2,16'h0000,,
30.689.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.689.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.690,25G Rx1 Sense Amp offset 3,16'h0000,,
30.690.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.690.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.691,25G Rx1 Sense Amp offset 4,16'h0000,,
30.691.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.691.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.692,25G Rx1 Sense Amp offset 5,16'h0000,,
30.692.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.692.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.693,25G Rx1 Sense Amp offset 6,16'h0000,,
30.693.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.693.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.694,25G Rx1 Sense Amp offset 7,16'h0000,,
30.694.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.694.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.695,25G Rx1 Sense Amp offset 8,16'h0000,,
30.695.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.695.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.944,25G Rx2 Sense Amp offset 1,16'h0000,,
30.944.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.944.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.945,25G Rx2 Sense Amp offset 2,16'h0000,,
30.945.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.945.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.946,25G Rx2 Sense Amp offset 3,16'h0000,,
30.946.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.946.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.947,25G Rx2 Sense Amp offset 4,16'h0000,,
30.947.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.947.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.948,25G Rx2 Sense Amp offset 5,16'h0000,,
30.948.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.948.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.949,25G Rx2 Sense Amp offset 6,16'h0000,,
30.949.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.949.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.950,25G Rx2 Sense Amp offset 7,16'h0000,,
30.950.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.950.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.951,25G Rx2 Sense Amp offset 8,16'h0000,,
30.951.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.951.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1200,25G Rx3 Sense Amp offset 1,16'h0000,,
30.1200.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1200.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1201,25G Rx3 Sense Amp offset 2,16'h0000,,
30.1201.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1201.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1202,25G Rx3 Sense Amp offset 3,16'h0000,,
30.1202.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1202.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1203,25G Rx3 Sense Amp offset 4,16'h0000,,
30.1203.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1203.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1204,25G Rx3 Sense Amp offset 5,16'h0000,,
30.1204.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1204.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1205,25G Rx3 Sense Amp offset 6,16'h0000,,
30.1205.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1205.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1206,25G Rx3 Sense Amp offset 7,16'h0000,,
30.1206.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1206.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.1207,25G Rx3 Sense Amp offset 8,16'h0000,,
30.1207.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.1207.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.440,25G Rx0 Sense Amp offset Control,16'h0002,,
30.440.15:2,Reserved,R,,
30.440.1,SA enable,RW,0=Disable Sense Amp; 1= Enable Sense Amp;,
30.440.0,SA offset over-ride,RW,,"Assert this bit = '1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp."
R30.696,25G Rx1 Sense Amp offset Control,16'h0002,,
30.696.15:2,Reserved,R,,
30.696.1,SA enable,RW,0=Disable Sense Amp; 1= Enable Sense Amp;,
30.696.0,SA offset over-ride,RW,,"Assert this bit = '1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp."
R30.952,25G Rx2 Sense Amp offset Control,16'h0002,,
30.952.15:2,Reserved,R,,
30.952.1,SA enable,RW,0=Disable Sense Amp; 1= Enable Sense Amp;,
30.952.0,SA offset over-ride,RW,,"Assert this bit = '1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp."
R30.1208,25G Rx3 Sense Amp offset Control,16'h0002,,
30.1208.15:2,Reserved,R,,
30.1208.1,SA enable,RW,0=Disable Sense Amp; 1= Enable Sense Amp;,
30.1208.0,SA offset over-ride,RW,,"Assert this bit = '1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp."
R30.441,25G Rx Lane 0 Eq offset,16'h007C,,
30.441.15:14,Reserved,R,,
30.441.13:8,Eq offset state,RW,,Actual value of equalizer offset : either from auto-zeroing or by over-ride.
30.441.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.441.1,Reserved,R,,
30.441.0,Overwrite Eq offsets,RW,,Assert this bit = '1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
R30.697,25G Rx Lane 1 Eq offset,16'h007C,,
30.697.15:14,Reserved,R,,
30.697.13:8,Eq offset state,RW,,Actual value of equalizer offset : either from auto-zeroing or by over-ride.
30.697.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.697.1,Reserved,R,,
30.697.0,Overwrite Eq offsets,RW,,Assert this bit = '1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
R30.953,25G Rx Lane 2 Eq offset,16'h007C,,
30.953.15:14,Reserved,R,,
30.953.13:8,Eq offset state,RW,,Actual value of equalizer offset : either from auto-zeroing or by over-ride.
30.953.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.953.1,Reserved,R,,
30.953.0,Overwrite Eq offsets,RW,,Assert this bit = '1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
R30.1209,25G Rx Lane 3 Eq offset,16'h007C,,
