!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre ,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
,,,,
R8.0,PMA Control 1 ,16'h204C,,
,,,,
R30.8887,Host Rx Lane 2 Sense Amp offset ctl 8,16'h0000,,
30.8887.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.8887.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.9143,Host Rx Lane 3 Sense Amp offset ctl 8,16'h0000,,
30.9143.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.9143.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.9399,Host Rx Lane 4 Sense Amp offset ctl 8,16'h0000,,
30.9399.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.9399.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.9655,Host Rx Lane 5 Sense Amp offset ctl 8,16'h0000,,
30.9655.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.9655.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.9911,Host Rx Lane 6 Sense Amp offset ctl 8,16'h0000,,
30.9911.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.9911.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.10167,Host Rx Lane 7 Sense Amp offset ctl 8,16'h0000,,
30.10167.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.10167.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.10423,Host Rx Lane 8 Sense Amp offset ctl 8,16'h0000,,
30.10423.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.10423.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.10679,Host Rx Lane 9 Sense Amp offset ctl 8,16'h0000,,
30.10679.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.10679.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
,,,,
R30.4280,Optical Rx Lane 0 Sense Amp offset ctl 9,16'h0002,,
30.4280.15:2,Reserved,R,,
30.4280.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.4280.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.4536,Optical Rx Lane 1 Sense Amp offset ctl 9,16'h0002,,
30.4536.15:2,Reserved,R,,
30.4536.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.4536.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.4792,Optical Rx Lane 2 Sense Amp offset ctl 9,16'h0002,,
30.4792.15:2,Reserved,R,,
30.4792.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.4792.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.5048,Optical Rx Lane 3 Sense Amp offset ctl 9,16'h0002,,
30.5048.15:2,Reserved,R,,
30.5048.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.5048.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.5304,Optical Rx Lane 4 Sense Amp offset ctl 9,16'h0002,,
30.5304.15:2,Reserved,R,,
30.5304.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.5304.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.5560,Optical Rx Lane 5 Sense Amp offset ctl 9,16'h0002,,
30.5560.15:2,Reserved,R,,
30.5560.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.5560.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.5816,Optical Rx Lane 6 Sense Amp offset ctl 9,16'h0002,,
30.5816.15:2,Reserved,R,,
30.5816.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.5816.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.6072,Optical Rx Lane 7 Sense Amp offset ctl 9,16'h0002,,
30.6072.15:2,Reserved,R,,
30.6072.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.6072.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.6328,Optical Rx Lane 8 Sense Amp offset ctl 9,16'h0002,,
30.6328.15:2,Reserved,R,,
30.6328.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.6328.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.6584,Optical Rx Lane 9 Sense Amp offset ctl 9,16'h0002,,
30.6584.15:2,Reserved,R,,
30.6584.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.6584.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.8376,Host Rx Lane 0 Sense Amp offset ctl 9,16'h0002,,
30.8376.15:2,Reserved,R,,
30.8376.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.8376.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.8632,Host Rx Lane 1 Sense Amp offset ctl 9,16'h0002,,
30.8632.15:2,Reserved,R,,
30.8632.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.8632.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.8888,Host Rx Lane 2 Sense Amp offset ctl 9,16'h0002,,
30.8888.15:2,Reserved,R,,
30.8888.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.8888.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.9144,Host Rx Lane 3 Sense Amp offset ctl 9,16'h0002,,
30.9144.15:2,Reserved,R,,
30.9144.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.9144.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.9400,Host Rx Lane 4 Sense Amp offset ctl 9,16'h0002,,
30.9400.15:2,Reserved,R,,
30.9400.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.9400.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.9656,Host Rx Lane 5 Sense Amp offset ctl 9,16'h0002,,
30.9656.15:2,Reserved,R,,
30.9656.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.9656.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.9912,Host Rx Lane 6 Sense Amp offset ctl 9,16'h0002,,
30.9912.15:2,Reserved,R,,
30.9912.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.9912.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.10168,Host Rx Lane 7 Sense Amp offset ctl 9,16'h0002,,
30.10168.15:2,Reserved,R,,
30.10168.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.10168.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.10424,Host Rx Lane 8 Sense Amp offset ctl 9,16'h0002,,
30.10424.15:2,Reserved,R,,
30.10424.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.10424.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
R30.10680,Host Rx Lane 9 Sense Amp offset ctl 9,16'h0002,,
30.10680.15:2,Reserved,R,,
30.10680.1,SA enable,R,0=disable; 1=enable,Enable Sense Amps
30.10680.0,SA offset override,RW,0=disable; 1=enable,"Assert this bit = ‘1' to enable overwriting of the sense amp offset values. When this bit is asserted then ALL 8 sense amp offsets will be overridden with the values in their respective RX Sense AMP Offset Control Registers 1-8. Selective sense amp offset overriding is not directly possible since there is no individual overwrite enable per sense amp. However, this can be achieved indirectly by first reading the sense amp offset value and then writing the same value back as the overwite value for that a particular sense amp. "
,,,,
,,,,
R30.4281,Optical Rx Lane 0 Eq offset control,16'h0000,,
30.4281.15:14,Reserved,R,,
30.4281.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.4281.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.4281.1,Reserved,R,,
30.4281.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.4537,Optical Rx Lane 1 Eq offset control,16'h0000,,
30.4537.15:14,Reserved,R,,
30.4537.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.4537.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.4537.1,Reserved,R,,
30.4537.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.4793,Optical Rx Lane 2 Eq offset control,16'h0000,,
30.4793.15:14,Reserved,R,,
30.4793.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.4793.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.4793.1,Reserved,R,,
30.4793.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.5049,Optical Rx Lane 3 Eq offset control,16'h0000,,
30.5049.15:14,Reserved,R,,
30.5049.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.5049.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.5049.1,Reserved,R,,
30.5049.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.5305,Optical Rx Lane 4 Eq offset control,16'h0000,,
30.5305.15:14,Reserved,R,,
30.5305.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.5305.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.5305.1,Reserved,R,,
30.5305.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.5561,Optical Rx Lane 5 Eq offset control,16'h0000,,
30.5561.15:14,Reserved,R,,
30.5561.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.5561.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.5561.1,Reserved,R,,
30.5561.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.5817,Optical Rx Lane 6 Eq offset control,16'h0000,,
30.5817.15:14,Reserved,R,,
30.5817.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.5817.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.5817.1,Reserved,R,,
30.5817.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.6073,Optical Rx Lane 7 Eq offset control,16'h0000,,
30.6073.15:14,Reserved,R,,
30.6073.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.6073.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.6073.1,Reserved,R,,
30.6073.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.6329,Optical Rx Lane 8 Eq offset control,16'h0000,,
30.6329.15:14,Reserved,R,,
30.6329.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.6329.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.6329.1,Reserved,R,,
30.6329.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.6585,Optical Rx Lane 9 Eq offset control,16'h0000,,
30.6585.15:14,Reserved,R,,
30.6585.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.6585.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.6585.1,Reserved,R,,
30.6585.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.8377,Host Rx Lane 0 Eq offset control,16'h0000,,
30.8377.15:14,Reserved,R,,
30.8377.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.8377.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.8377.1,Reserved,R,,
30.8377.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.8633,Host Rx Lane 1 Eq offset control,16'h0000,,
30.8633.15:14,Reserved,R,,
30.8633.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.8633.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.8633.1,Reserved,R,,
30.8633.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.8889,Host Rx Lane 2 Eq offset control,16'h0000,,
30.8889.15:14,Reserved,R,,
30.8889.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.8889.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.8889.1,Reserved,R,,
30.8889.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.9145,Host Rx Lane 3 Eq offset control,16'h0000,,
30.9145.15:14,Reserved,R,,
30.9145.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.9145.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.9145.1,Reserved,R,,
30.9145.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.9401,Host Rx Lane 4 Eq offset control,16'h0000,,
30.9401.15:14,Reserved,R,,
30.9401.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.9401.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.9401.1,Reserved,R,,
30.9401.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.9657,Host Rx Lane 5 Eq offset control,16'h0000,,
30.9657.15:14,Reserved,R,,
30.9657.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.9657.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.9657.1,Reserved,R,,
30.9657.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.9913,Host Rx Lane 6 Eq offset control,16'h0000,,
30.9913.15:14,Reserved,R,,
30.9913.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.9913.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.9913.1,Reserved,R,,
30.9913.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.10169,Host Rx Lane 7 Eq offset control,16'h0000,,
30.10169.15:14,Reserved,R,,
30.10169.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.10169.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.10169.1,Reserved,R,,
30.10169.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.10425,Host Rx Lane 8 Eq offset control,16'h0000,,
30.10425.15:14,Reserved,R,,
30.10425.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.10425.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.10425.1,Reserved,R,,
30.10425.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
R30.10681,Host Rx Lane 9 Eq offset control,16'h0000,,
30.10681.15:14,Reserved,R,,
30.10681.13:8,Eq offset state,R ,,Actual value of equalizer offset : either from autozeroing or by over-ride.
30.10681.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.10681.1,Reserved,R,,
30.10681.0,Overwrite Eq offsets,RW,,Assert this bit = ‘1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
,,,,
,,,,
R30.4288,Optical Rx Lane 0 Amux control,16'h0000,,
30.4288.15:14,Reserved,R,,
30.4288.13:12,Equalizer offset correction method,RW,,Equalizer offset correction method
30.4288.11:9,Reserved,R,,
30.4288.8,Speed up timers,RW,,Reserved for simulation use. Do not assert on real device
30.4288.7,Reserved,R,,
30.4288.6:4,PLL Amux select,RW,,A 3 way binary coded field which will be decoded inside RXD to produce a 1 hot 8 way AMUX observe select.
30.4288.3:0,Rx Amux select,RW,,A 4 way binary coded field which will be decoded inside RXD to produce a 1 hot 16 way AMUX observe select.
,,,,
R30.4544,Optical Rx Lane 1 Amux control,16'h0000,,
30.4544.15:14,Reserved,R,,
30.4544.13:12,Equalizer offset correction method,RW,,Equalizer offset correction method
30.4544.11:9,Reserved,R,,
30.4544.8,Speed up timers,RW,,Reserved for simulation use. Do not assert on real device
30.4544.7,Reserved,R,,
