! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/lli_1316463935/#alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v 1.4 2012-06-26 16:17:18-07 lli Exp $,,,
! $Log: #alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v $
! Revision 1.4  2012-06-26 16:17:18-07  lli
! CHanged eror checker names from Tx to Rx
!,,,
! Revision 1.3  2012-06-25 10:29:55-07  lli,,,,
! Updated to match B0 Chip Behaviour,,,,
!,,,,
! Revision 1.2  2012-06-20 13:46:58-07  case,,,,
! Updated MDIo init and Error Inject to RW from W,,,,
!,,,,
! Revision 1.1  2012-06-20 11:26:13-07  case,,,,
! Inital release -- not checked,,,,
!,,,,
! Revision 1.4  2012-04-12 14:24:43-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:54-07  case,,,,
! defined CYA bit function correctly this time,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:19-07  case,,,,
! defined CYA bit functio,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:14-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.7  2011-12-01 14:23:13-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.6  2011-11-23 09:00:28-08  rward,,,,
! expanded trim bits,,,,
!,,,,
! Revision 1.3  2011-08-23 12:09:16-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.2  2011-08-18 09:16:48-07  rbemra,,,,
! Corrected 30.1540.0 <- 30.1540.1,,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.4  2011-08-01 15:52:23-07  rbemra,,,,
"! Removed extra R30.529 register; this csv ""Saved As"" from xlsx master of same base name",,,,
!,,,,
! Revision 1.3  2011-07-29 18:52:16-07  rbemra,,,,
! Corrections by iPHY team from CDR100 tests upto screening,,,,
!,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
R8.0,PMA Control 1 ,16'h204C,,
R30.968,25G Rx Lane 2 Vreg control,16'h0777,,
30.968.15:12,Reserved,R,,
30.968.11:8,not_used,RW,,
30.968.7:4,Vreg2_eq[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane spare Rx fuse register bit 5 (adds 0.01V) to value set here.
30.968.3:0,Vreg1_clk_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg1 control. LSB is set by Lane spare Rx fuse register bit 4 (adds 0.01V) to value set here.
R30.1224,25G Rx Lane 3 Vreg control,16'h0777,,
30.1224.15:12,Reserved,R,,
30.1224.11:8,not_used,RW,,
30.1224.7:4,Vreg2_eq[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane spare Rx fuse register bit 5 (adds 0.01V) to value set here.
30.1224.3:0,Vreg1_clk_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg1 control. LSB is set by Lane spare Rx fuse register bit 4 (adds 0.01V) to value set here.
R30.464,25G Rx Lane 0 CYA register,16'hFF00,,
30.464.15:8,Unimplemented CYA Status,R,,Unimplemented
30.464.7:5,Unimplemented CYA Control,RW,,Unimplemented
30.464.4,Rx Bandgap Bypass,RW,0=BG;1=R-divider,
30.464.3:0,Unimplemented CYA Control,RW,,Unimplemented
R30.720,25G Rx Lane 0 CYA register,16'hFF00,,
30.720.15:8,Unimplemented CYA Status,R,,Unimplemented
30.720.7:5,Unimplemented CYA Control,RW,,Unimplemented
30.720.4,Rx Bandgap Bypass,RW,0=BG;1=R-divider,
30.720.3:0,Unimplemented CYA Control,RW,,Unimplemented
R30.976,25G Rx Lane 0 CYA register,16'hFF00,,
30.976.15:8,Unimplemented CYA Status,R,,Unimplemented
30.976.7:5,Unimplemented CYA Control,RW,,Unimplemented
30.976.4,Rx Bandgap Bypass,RW,0=BG;1=R-divider,
30.976.3:0,Unimplemented CYA Control,RW,,Unimplemented
R30.1232,25G Rx Lane 0 CYA register,16'hFF00,,
30.1232.15:8,Unimplemented CYA Status,R,,Unimplemented
30.1232.7:5,Unimplemented CYA Control,RW,,Unimplemented
30.1232.4,Rx Bandgap Bypass,RW,0=BG;1=R-divider,
30.1232.3:0,Unimplemented CYA Control,RW,,Unimplemented
R30.465,25G Rx Lane 0 Spare Fuse,16'h0000,,
30.465.15:8,Reserved,R,,
30.465.7:6,Spare RX Fuse register bits,RW,,
30.465.5,Vreg2_eq[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.465.4,Vreg1_clk_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.465.3:1,Spare RX GCK fuse registers,RW,,
30.465.0,Vreg_Rx_PLL[0],RW,0=+0.00V;1=+0.01V,LSB of Central Vreg control. When set adds 0.01V to regulator output.
R30.721,25G Rx Lane 1 Spare Fuse,16'h0000,,
30.721.15:8,Reserved,R,,
30.721.7:6,Spare RX Fuse register bits,RW,,
30.721.5,Vreg2_eq[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.721.4,Vreg1_clk_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.721.3:0,Spare RX GCK fuse registers,RW,,
R30.977,25G Rx Lane 2 Spare Fuse,16'h0000,,
30.977.15:8,Reserved,R,,
30.977.7:6,Spare RX Fuse register bits,RW,,
30.977.5,Vreg2_eq[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.977.4,Vreg1_clk_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.977.3:0,Spare RX GCK fuse registers,RW,,
R30.1233,25G Rx Lane 3 Spare Fuse,16'h0000,,
30.1233.15:8,Reserved,R,,
30.1233.7:6,Spare RX Fuse register bits,RW,,
30.1233.5,Vreg2_eq[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.1233.4,Vreg1_clk_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.1233.3:0,Spare RX GCK fuse registers,RW,,
R30.1280,eFuse Control,16'h2000,,
30.1280.15,program,RW,,"Toggling this bit from a zero to a one state causes the eFuse register bit addressed by 30.1280.9:0 to be programmed to a one value. During programming 'done' (30.1280.13) will be de-asserted. Programming will not occur if the efuse is in its power-down state (30.1281.15=0), or if 'done' (30.1280.13) is not asserted."
30.1280.14,fetch,RW,,"Toggling this bit from a zero to a one state causes the eFuse contents to be fetched and loaded into registers 30.1408 to 30.1420. Fetching will not occur if the efuse is in its power-down state (30.1281.15=0), or if 'done' (30.1280.13) is not asserted. Registers 30.1409 to 30.1440 will not be fetched if the content of the eFuse byte 0 (30.1408) is zero - ie if the eFuse has not been programmed."
30.1280.13,done,R,,eFuse actions complete. 0=eFuse program or fetch operations are in progress.
30.1280.12:11,Reserved,R,,
30.1280.10:8, bit address,RW,,This field indicates which eFuse bit (of a byte) to set to a one in a program operation.
30.1280.7,Reserved,R,,
30.1280.6:0,byte address,RW,,This field indicates which eFuse byte to program in a program operation.
R30.1281,eFuse Power-up,16'h0000,,
30.1281.15,Power-up,RW,0=powerdn;1=power up,This bit controls the power state of the eFuse array after reset : 0 (default) = array is powered down; 1 = array is powered up; This bit must be set to a one in order to program or fetch the contents of the eFuse array.
30.1281.14:00,Reserved,R,,
R30.1344,MemBus Address,16'h0000,,
30.1344.15:0,ictl_pcs_mem_addr,RW,,MemBus Address (for MDIO sourced accesses)
R30.1345,MemBus Write,16'hE000,,
30.1345.15,octl_pcs_mem_ack 2,R,,Macro 2 acknowledge state.  One bit per macro.  The bit is cleared until a macro acknowledges a read or write transaction.
30.1345.14,octl_pcs_mem_ack 1,R,,Macro 1 acknowledge state.  One bit per macro.  The bit is cleared until a macro acknowledges a read or write transaction.
30.1345.13,octl_pcs_mem_ack 0,R,,Macro 0 acknowledge state.  One bit per macro.  The bit is cleared until a macro acknowledges a read or write transaction.
30.1345.12,Reserved,R,,
30.1345.11,ictl_pcs_mem_req 2,RW,0=no request; 1=request;,Macro 2 access Request. One bit per macro.  The bit is set to request a macro MemBus MDIO transaction. Note only one individual or parallel transaction can be active at one time.  A request on any of these bits will be ignored if any 'ack' bit is not set.
30.1345.10,ictl_pcs_mem_req 1,RW,0=no request; 1=request;,Macro 1 access Request. One bit per macro.  The bit is set to request a macro MemBus MDIO transaction. Note only one individual or parallel transaction can be active at one time.  A request on any of these bits will be ignored if any 'ack' bit is not set.
30.1345.9,ictl_pcs_mem_req 0,RW,0=no request; 1=request;,Macro 0 access Request. One bit per macro.  The bit is set to request a macro MemBus MDIO transaction. Note only one individual or parallel transaction can be active at one time.  A request on any of these bits will be ignored if any 'ack' bit is not set.
30.1345.8,ictl_pcs_mem_wr,RW,0=read; 1=write;,MemBus Write (~Read)
30.1345.7:0,idat_pcs_mem_wdat [7:0],RW,,MemBus write data (for MDIO sourced accesses)
R30.1346,MemBus Read 0,16'h0000,,
30.1346.15:8,odat_pcs_mem_rdat_1,R,,MemBus Data read from Macro 1 (lanes 4..7)
30.1346.7:0,odat_pcs_mem_rdat_0,R,,MemBus Data read from Macro 0 (lanes 0..3)
R30.1347,MemBus Read 1,16'h0000,,
30.1347.15:8,Reserved,R,,"Read as zero, writes ignored"
30.1347.7:0,odat_pcs_mem_rdat_2,R,,MemBus Data read from Macro 2 (lanes 8 &9)
R30.1408,eFuse Control Byte,16'h0000,,
30.1408.15:8,Reserved,R,,"Read as zero, writes ignored"
30.1408.7:0,eFuse Control Byte,R,,"Contents of first fetched eFuse byte. If this byte is fetched as zero, no other bytes will be fetched (eFuse is unprogrammed)"
R30.1409,s25t0_trim[7:0],16'h0000,,
30.1409.15:8,Reserved,R,,
30.1409.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1410,s25t0_trim[15:8],16'h0000,,
30.1410.15:8,Reserved,R,,
30.1410.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1411,s25t0_trim[23:16],16'h0000,,
30.1411.15:8,Reserved,R,,
30.1411.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1412,s25r0_trim[7:0],16'h0000,,
30.1412.15:8,Reserved,R,,
30.1412.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1413,s25r0_trim[15:8],16'h0000,,
30.1413.15:8,Reserved,R,,
30.1413.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1414,s25r0_trim[23:16],16'h0000,,
30.1414.15:8,Reserved,R,,
30.1414.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1415,s25r0_trim[31:24],16'h0000,,
30.1415.15:8,Reserved,R,,
30.1415.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1416,misc_trim[7:0],16'h0000,,
30.1416.15:8,Reserved,R,,
30.1416.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1417,s25t1_trim[7:0],16'h0000,,
30.1417.15:8,Reserved,R,,
30.1417.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1418,s25t1_trim[15:8],16'h0000,,
30.1418.15:8,Reserved,R,,
30.1418.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1419,s25t1_trim[23:16],16'h0000,,
30.1419.15:8,Reserved,R,,
30.1419.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1420,s25r1_trim[7:0],16'h0000,,
30.1420.15:8,Reserved,R,,
30.1420.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1421,s25r1_trim[15:8],16'h0000,,
30.1421.15:8,Reserved,R,,
30.1421.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1422,s25r1_trim[23:16],16'h0000,,
30.1422.15:8,Reserved,R,,
30.1422.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1423,s25r1_trim[31:24],16'h0000,,
30.1423.15:8,Reserved,R,,
30.1423.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1424,misc_trim[15:8],16'h0000,,
30.1424.15:8,Reserved,R,,
30.1424.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1425,s25t2_trim[7:0],16'h0000,,
30.1425.15:8,Reserved,R,,
30.1425.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1426,s25t2_trim[15:8],16'h0000,,
30.1426.15:8,Reserved,R,,
30.1426.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1427,s25t2_trim[23:16],16'h0000,,
30.1427.15:8,Reserved,R,,
30.1427.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1428,s25r2_trim[7:0],16'h0000,,
30.1428.15:8,Reserved,R,,
30.1428.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1429,s25r2_trim[15:8],16'h0000,,
30.1429.15:8,Reserved,R,,
30.1429.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1430,s25r2_trim[23:16],16'h0000,,
30.1430.15:8,Reserved,R,,
30.1430.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1431,s25r2_trim[31:24],16'h0000,,
30.1431.15:8,Reserved,R,,
30.1431.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1432,misc_trim[23:16],16'h0000,,
30.1432.15:8,Reserved,R,,
30.1432.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1433,s25t3_trim[7:0],16'h0000,,
30.1433.15:8,Reserved,R,,
30.1433.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1434,s25t3_trim[15:8],16'h0000,,
30.1434.15:8,Reserved,R,,
30.1434.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1435,s25t3_trim[23:16],16'h0000,,
30.1435.15:8,Reserved,R,,
30.1435.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1436,s25r3_trim[7:0],16'h0000,,
30.1436.15:8,Reserved,R,,
30.1436.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1437,s25r3_trim[15:8],16'h0000,,
30.1437.15:8,Reserved,R,,
30.1437.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1438,s25r3_trim[23:16],16'h0000,,
30.1438.15:8,Reserved,R,,
30.1438.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1439,s25r3_trim[31:24],16'h0000,,
30.1439.15:8,Reserved,R,,
30.1439.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1440,misc_trim[31:24],16'h0000,,
30.1440.15:8,Reserved,R,,
30.1440.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1536,CAUI Reset Control,16'hE3FF,,
30.1536.15,IRST_PCS_POR_B_A,RW, 0=powerdn; 1=power up,Power on reset: Used to reset all 10G SERDES internal registers.  Active low.
30.1536.14,Reserved,R,,
30.1536.13,IRST_PCS_HARD_SYNTH_B_A,RW, 0=reset; 1=unreset,Synthesizer soft reset: reset Tx clock synthesizer.  Active low.
30.1536.12:10,Reserved,R,,
30.1536.9,IRST_PCS_HARD_TXRX_B_A_L9,RW, 0=reset; 1=unreset,CAUI Lane 9 soft reset: reset lane receiver and transmitter.  Active low.
30.1536.8,IRST_PCS_HARD_TXRX_B_A_L8,RW, 0=reset; 1=unreset,CAUI Lane 8 Soft reset: reset lane receiver and transmitter.  Active low.
30.1536.7,IRST_PCS_HARD_TXRX_B_A_L7,RW, 0=reset; 1=unreset,CAUI Lane 7 soft reset: reset lane receiver and transmitter.  Active low.
30.1536.6,IRST_PCS_HARD_TXRX_B_A_L6,RW, 0=reset; 1=unreset,CAUI Lane 6 soft reset: reset lane receiver and transmitter.  Active low.
30.1536.5,IRST_PCS_HARD_TXRX_B_A_L5,RW, 0=reset; 1=unreset,CAUI Lane 5 soft reset: reset lane receiver and transmitter.  Active low.
30.1536.4,IRST_PCS_HARD_TXRX_B_A_L4,RW, 0=reset; 1=unreset,CAUI Lane 4 soft reset: reset lane receiver and transmitter.  Active low.
30.1536.3,IRST_PCS_HARD_TXRX_B_A_L3,RW, 0=reset; 1=unreset,CAUI Lane 3 soft reset: reset lane receiver and transmitter.  Active low.
30.1536.2,IRST_PCS_HARD_TXRX_B_A_L2,RW, 0=reset; 1=unreset,CAUI Lane 2 soft reset: reset lane receiver and transmitter.  Active low.
30.1536.1,IRST_PCS_HARD_TXRX_B_A_L1,RW, 0=reset; 1=unreset,CAUI Lane 1 soft reset: reset lane receiver and transmitter.  Active low.
30.1536.0,IRST_PCS_HARD_TXRX_B_A_L0,RW, 0=reset; 1=unreset,CAUI Lane 0 soft reset: reset lane receiver and transmitter.  Active low.
R30.1537,CAUI Output Power up,16'h03FF,,
30.1537.15,IPD_PCS_IDDQ_SYNTH_B_A,RW, 0=powerdn; 1=power up,Power on reset: Used to reset all 10G SERDES internal registers.  Active low.
30.1537.14:10,Reserved,R,,
30.1537.9,IPD_PCS_IDDQ _TX_B_A_L9,RW, 0=circuits disabled; 1=circuits enabled,CAUI Output Lane 9 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ);  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1537.8,IPD_PCS_IDDQ _TX _B_A_L8,RW, 0=circuits disabled; 1=circuits enabled,CAUI Output Lane 8 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1537.7,IPD_PCS_IDDQ _TX _B_A_L7,RW, 0=circuits disabled; 1=circuits enabled,CAUI Output Lane 7 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1537.6,IPD_PCS_IDDQ _TX _B_A_L6,RW, 0=circuits disabled; 1=circuits enabled,CAUI Output Lane 6 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1537.5,IPD_PCS_IDDQ _TX _B_A_L5,RW, 0=circuits disabled; 1=circuits enabled,CAUI Output Lane 5 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1537.4,IPD_PCS_IDDQ _TX _B_A_L4,RW, 0=circuits disabled; 1=circuits enabled,CAUI Output Lane 4 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1537.3,IPD_PCS_IDDQ _TX _B_A_L3,RW, 0=circuits disabled; 1=circuits enabled,CAUI Output Lane 3 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1537.2,IPD_PCS_IDDQ _TX _B_A_L2,RW, 0=circuits disabled; 1=circuits enabled,CAUI Output Lane 2 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1537.1,IPD_PCS_IDDQ _TX _B_A_L1,RW, 0=circuits disabled; 1=circuits enabled,CAUI Output Lane 1 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1537.0,IPD_PCS_IDDQ _TX _B_A_L0,RW, 0=circuits disabled; 1=circuits enabled,CAUI Output Lane 0 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
R30.1538,CAUI Input Power up,16'h03FF,,
30.1538.15:10,Reserved,R,,
30.1538.9,IPD_PCS_IDDQ _RX_B_A_L9,RW, 0=circuits disabled; 1=circuits enabled,CAUI Input Lane 9 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ);  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1538.8,IPD_PCS_IDDQ _ RX _B_A_L8,RW, 0=circuits disabled; 1=circuits enabled,CAUI Input Lane 8 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1538.7,IPD_PCS_IDDQ _ RX _B_A_L7,RW, 0=circuits disabled; 1=circuits enabled,CAUI Input Lane 7 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1538.6,IPD_PCS_IDDQ _ RX _B_A_L6,RW, 0=circuits disabled; 1=circuits enabled,CAUI Input Lane 6 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1538.5,IPD_PCS_IDDQ _ RX _B_A_L5,RW, 0=circuits disabled; 1=circuits enabled,CAUI Input Lane 5 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1538.4,IPD_PCS_IDDQ _ RX _B_A_L4,RW, 0=circuits disabled; 1=circuits enabled,CAUI Input Lane 4 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1538.3,IPD_PCS_IDDQ _ RX _B_A_L3,RW, 0=circuits disabled; 1=circuits enabled,CAUI Input Lane 3 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1538.2,IPD_PCS_IDDQ _ RX _B_A_L2,RW, 0=circuits disabled; 1=circuits enabled,CAUI Input Lane 2 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1538.1,IPD_PCS_IDDQ _ RX _B_A_L1,RW, 0=circuits disabled; 1=circuits enabled,CAUI Input Lane 1 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
30.1538.0,IPD_PCS_IDDQ _ RX _B_A_L0,RW, 0=circuits disabled; 1=circuits enabled,CAUI Input Lane 0 Power Down/IDDQ control: 1=All analog circuits enabled; 0=all analog circuits disabled (IDDQ).  This bit  only operates if Manual reset control bit 30.0.15 is set.
R30.1539,CAUI BIST control,16'h0000,,
30.1539.15:13,ICTL_PCS_TXBIST_MODESEL_NT,RW,000=pattern memory; 001=PRBS7; 010= PRBS23; 011=PRBS31; 100=D10.2; 101=half rate clock (11001100..);,Select CAUI Tx BIST pattern
30.1539.12,sel_11g2gbps_txtest_ck,RW,0=recovered clock; 1= 175MHz cmos clock;,Select tx synth reference clock 
30.1539.11:10,Reserved,R,,
30.1539.9,ICTL_PCS_TXBIST_EN_L9_NT,RW,0=disable;1=enable,CAUI Tx BIST Lane 9 enable 
30.1539.8,ICTL_PCS_TXBIST_EN_L8_NT,RW,0=disable;1=enable,CAUI Tx BIST Lane 8 enable 
30.1539.7,ICTL_PCS_TXBIST_EN_L7_NT,RW,0=disable;1=enable,CAUI Tx BIST Lane 7 enable 
30.1539.6,ICTL_PCS_TXBIST_EN_L6_NT,RW,0=disable;1=enable,CAUI Tx BIST Lane 6 enable 
30.1539.5,ICTL_PCS_TXBIST_EN_L5_NT,RW,0=disable;1=enable,CAUI Tx BIST Lane 5 enable 
30.1539.4,ICTL_PCS_TXBIST_EN_L4_NT,RW,0=disable;1=enable,CAUI Tx BIST Lane 4 enable 
30.1539.3,ICTL_PCS_TXBIST_EN_L3_NT,RW,0=disable;1=enable,CAUI Tx BIST Lane 3 enable 
30.1539.2,ICTL_PCS_TXBIST_EN_L2_NT,RW,0=disable;1=enable,CAUI Tx BIST Lane 2 enable 
